"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 31 05:35:27 GMT 2023","Fri Mar 31 05:35:30 GMT 2023","2869","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Fri Mar 31 05:35:27 GMT 2023","Fri Mar 31 05:35:27 GMT 2023","229","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Fri Mar 31 05:35:30 GMT 2023","Fri Mar 31 05:35:31 GMT 2023","228","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
"passed","Fri Mar 31 05:35:27 GMT 2023","Fri Mar 31 05:35:27 GMT 2023","230","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Fri Mar 31 05:35:26 GMT 2023","Fri Mar 31 05:35:27 GMT 2023","1215","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Fri Mar 31 05:35:27 GMT 2023","Fri Mar 31 05:35:27 GMT 2023","226","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
