"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 25 07:13:07 GMT 2023","Thu May 25 07:13:07 GMT 2023","232","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
"passed","Thu May 25 07:13:31 GMT 2023","Thu May 25 07:13:31 GMT 2023","233","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
"passed","Thu May 25 07:13:07 GMT 2023","Thu May 25 07:13:08 GMT 2023","235","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Thu May 25 07:13:06 GMT 2023","Thu May 25 07:13:07 GMT 2023","1255","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Thu May 25 07:13:07 GMT 2023","Thu May 25 07:13:07 GMT 2023","235","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Thu May 25 07:13:08 GMT 2023","Thu May 25 07:13:31 GMT 2023","23020","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
