"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 08:32:47 GMT 2023","Tue Apr 04 08:32:48 GMT 2023","1651","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Tue Apr 04 08:32:46 GMT 2023","Tue Apr 04 08:32:46 GMT 2023","214","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Tue Apr 04 08:32:48 GMT 2023","Tue Apr 04 08:32:49 GMT 2023","218","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
"passed","Tue Apr 04 08:32:47 GMT 2023","Tue Apr 04 08:32:47 GMT 2023","214","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Tue Apr 04 08:32:45 GMT 2023","Tue Apr 04 08:32:46 GMT 2023","1265","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Tue Apr 04 08:32:46 GMT 2023","Tue Apr 04 08:32:47 GMT 2023","212","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
