"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 18 08:48:19 GMT 2023","Thu May 18 08:48:19 GMT 2023","213","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Thu May 18 08:48:19 GMT 2023","Thu May 18 08:48:25 GMT 2023","5101","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Thu May 18 08:48:19 GMT 2023","Thu May 18 08:48:19 GMT 2023","211","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
"passed","Thu May 18 08:48:19 GMT 2023","Thu May 18 08:48:19 GMT 2023","213","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Thu May 18 08:48:18 GMT 2023","Thu May 18 08:48:19 GMT 2023","1196","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Thu May 18 08:48:25 GMT 2023","Thu May 18 08:48:25 GMT 2023","218","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
