"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 08:58:06 GMT 2023","Thu Apr 06 08:58:06 GMT 2023","247","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
"passed","Thu Apr 06 08:58:05 GMT 2023","Thu Apr 06 08:58:05 GMT 2023","303","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Thu Apr 06 08:58:04 GMT 2023","Thu Apr 06 08:58:04 GMT 2023","269","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Thu Apr 06 08:58:05 GMT 2023","Thu Apr 06 08:58:06 GMT 2023","1227","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Thu Apr 06 08:58:03 GMT 2023","Thu Apr 06 08:58:04 GMT 2023","1341","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Thu Apr 06 08:58:04 GMT 2023","Thu Apr 06 08:58:05 GMT 2023","240","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
