"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 30 13:33:55 GMT 2023","Thu Mar 30 13:33:56 GMT 2023","1108","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Thu Mar 30 13:33:55 GMT 2023","Thu Mar 30 13:33:55 GMT 2023","224","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Thu Mar 30 13:33:54 GMT 2023","Thu Mar 30 13:33:54 GMT 2023","222","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Thu Mar 30 13:33:54 GMT 2023","Thu Mar 30 13:33:55 GMT 2023","221","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
"passed","Thu Mar 30 13:33:56 GMT 2023","Thu Mar 30 13:33:56 GMT 2023","223","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
"passed","Thu Mar 30 13:33:53 GMT 2023","Thu Mar 30 13:33:54 GMT 2023","1176","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
