"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 18 07:25:40 GMT 2023","Thu May 18 07:25:40 GMT 2023","260","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Thu May 18 07:25:40 GMT 2023","Thu May 18 07:26:07 GMT 2023","26641","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Thu May 18 07:25:38 GMT 2023","Thu May 18 07:25:39 GMT 2023","1304","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Thu May 18 07:25:40 GMT 2023","Thu May 18 07:25:40 GMT 2023","240","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
"passed","Thu May 18 07:25:39 GMT 2023","Thu May 18 07:25:40 GMT 2023","292","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Thu May 18 07:26:07 GMT 2023","Thu May 18 07:26:07 GMT 2023","241","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
