"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 31 05:35:48 GMT 2023","Fri Mar 31 05:35:48 GMT 2023","218","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Fri Mar 31 05:35:48 GMT 2023","Fri Mar 31 05:35:48 GMT 2023","218","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Fri Mar 31 05:35:48 GMT 2023","Fri Mar 31 05:35:48 GMT 2023","215","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
"passed","Fri Mar 31 05:35:49 GMT 2023","Fri Mar 31 05:35:50 GMT 2023","217","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
"passed","Fri Mar 31 05:35:47 GMT 2023","Fri Mar 31 05:35:48 GMT 2023","1184","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Fri Mar 31 05:35:48 GMT 2023","Fri Mar 31 05:35:49 GMT 2023","1079","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
