"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 23 12:32:16 GMT 2023","Thu Mar 23 12:32:16 GMT 2023","214","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
"passed","Thu Mar 23 12:32:16 GMT 2023","Thu Mar 23 12:32:16 GMT 2023","218","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Thu Mar 23 12:32:16 GMT 2023","Thu Mar 23 12:32:16 GMT 2023","215","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Thu Mar 23 12:32:15 GMT 2023","Thu Mar 23 12:32:16 GMT 2023","1204","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Thu Mar 23 12:32:16 GMT 2023","Thu Mar 23 12:32:17 GMT 2023","1076","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Thu Mar 23 12:32:17 GMT 2023","Thu Mar 23 12:32:18 GMT 2023","215","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
