"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 08:39:23 GMT 2023","Tue Apr 04 08:39:24 GMT 2023","1293","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Tue Apr 04 08:39:24 GMT 2023","Tue Apr 04 08:39:25 GMT 2023","239","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Tue Apr 04 08:39:29 GMT 2023","Tue Apr 04 08:39:29 GMT 2023","237","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
"passed","Tue Apr 04 08:39:24 GMT 2023","Tue Apr 04 08:39:24 GMT 2023","236","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
"passed","Tue Apr 04 08:39:25 GMT 2023","Tue Apr 04 08:39:29 GMT 2023","3973","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Tue Apr 04 08:39:24 GMT 2023","Tue Apr 04 08:39:24 GMT 2023","238","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
