"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 18 08:19:25 GMT 2023","Thu May 18 08:19:25 GMT 2023","229","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Thu May 18 08:19:25 GMT 2023","Thu May 18 08:19:32 GMT 2023","7091","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Thu May 18 08:19:23 GMT 2023","Thu May 18 08:19:24 GMT 2023","1199","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Thu May 18 08:19:24 GMT 2023","Thu May 18 08:19:25 GMT 2023","226","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Thu May 18 08:19:25 GMT 2023","Thu May 18 08:19:25 GMT 2023","224","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
"passed","Thu May 18 08:19:32 GMT 2023","Thu May 18 08:19:32 GMT 2023","226","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
