"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 30 09:55:50 GMT 2023","Thu Mar 30 09:55:51 GMT 2023","212","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
"passed","Thu Mar 30 09:55:52 GMT 2023","Thu Mar 30 09:55:53 GMT 2023","213","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
"passed","Thu Mar 30 09:55:50 GMT 2023","Thu Mar 30 09:55:50 GMT 2023","214","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Thu Mar 30 09:55:49 GMT 2023","Thu Mar 30 09:55:50 GMT 2023","1185","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Thu Mar 30 09:55:51 GMT 2023","Thu Mar 30 09:55:52 GMT 2023","1569","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Thu Mar 30 09:55:51 GMT 2023","Thu Mar 30 09:55:51 GMT 2023","214","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
