"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 20 11:49:53 GMT 2023","Mon Mar 20 11:49:54 GMT 2023","238","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
"passed","Mon Mar 20 11:49:53 GMT 2023","Mon Mar 20 11:49:53 GMT 2023","240","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Mon Mar 20 11:49:54 GMT 2023","Mon Mar 20 11:49:55 GMT 2023","1194","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Mon Mar 20 11:49:52 GMT 2023","Mon Mar 20 11:49:53 GMT 2023","1317","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Mon Mar 20 11:49:55 GMT 2023","Mon Mar 20 11:49:55 GMT 2023","240","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
"passed","Mon Mar 20 11:49:54 GMT 2023","Mon Mar 20 11:49:54 GMT 2023","241","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
