"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 09:34:42 GMT 2023","Tue Apr 04 09:34:42 GMT 2023","303","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Tue Apr 04 09:34:43 GMT 2023","Tue Apr 04 09:34:43 GMT 2023","236","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
"passed","Tue Apr 04 09:34:42 GMT 2023","Tue Apr 04 09:34:43 GMT 2023","1277","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Tue Apr 04 09:34:41 GMT 2023","Tue Apr 04 09:34:41 GMT 2023","395","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Tue Apr 04 09:34:41 GMT 2023","Tue Apr 04 09:34:42 GMT 2023","248","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
"passed","Tue Apr 04 09:34:40 GMT 2023","Tue Apr 04 09:34:41 GMT 2023","1256","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
