"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 19 08:11:52 GMT 2023","Fri May 19 08:11:52 GMT 2023","215","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
"passed","Fri May 19 08:11:47 GMT 2023","Fri May 19 08:11:47 GMT 2023","214","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Fri May 19 08:11:47 GMT 2023","Fri May 19 08:11:47 GMT 2023","210","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
"passed","Fri May 19 08:11:46 GMT 2023","Fri May 19 08:11:47 GMT 2023","213","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Fri May 19 08:11:47 GMT 2023","Fri May 19 08:11:52 GMT 2023","4471","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Fri May 19 08:11:45 GMT 2023","Fri May 19 08:11:46 GMT 2023","1195","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
