"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 18 08:10:25 GMT 2023","Thu May 18 08:10:26 GMT 2023","1233","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Thu May 18 08:10:27 GMT 2023","Thu May 18 08:10:27 GMT 2023","232","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Thu May 18 08:10:26 GMT 2023","Thu May 18 08:10:27 GMT 2023","230","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
"passed","Thu May 18 08:10:39 GMT 2023","Thu May 18 08:10:40 GMT 2023","230","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
"passed","Thu May 18 08:10:27 GMT 2023","Thu May 18 08:10:39 GMT 2023","12498","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Thu May 18 08:10:26 GMT 2023","Thu May 18 08:10:26 GMT 2023","231","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
