"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 28 11:13:02 GMT 2023","Tue Mar 28 11:13:02 GMT 2023","216","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
"passed","Tue Mar 28 11:13:00 GMT 2023","Tue Mar 28 11:13:00 GMT 2023","218","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Tue Mar 28 11:13:00 GMT 2023","Tue Mar 28 11:13:02 GMT 2023","1124","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Tue Mar 28 11:13:00 GMT 2023","Tue Mar 28 11:13:00 GMT 2023","219","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Tue Mar 28 11:12:59 GMT 2023","Tue Mar 28 11:13:00 GMT 2023","1205","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Tue Mar 28 11:13:00 GMT 2023","Tue Mar 28 11:13:00 GMT 2023","215","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
