"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 09:26:07 GMT 2023","Tue Apr 04 09:26:08 GMT 2023","1406","tests","test_technical_details","","","","test_get_technical_student_details[7159566]",""
"passed","Tue Apr 04 09:26:07 GMT 2023","Tue Apr 04 09:26:07 GMT 2023","236","tests","test_end_to_end","","","","test_add_new_data[7081053]",""
"passed","Tue Apr 04 09:26:06 GMT 2023","Tue Apr 04 09:26:07 GMT 2023","234","tests","test_add_new_student","","","","test_update_new_student[7081053]",""
"passed","Tue Apr 04 09:26:05 GMT 2023","Tue Apr 04 09:26:06 GMT 2023","1291","tests","test_add_new_student","","","","test_get_student_data[7081053]",""
"passed","Tue Apr 04 09:26:06 GMT 2023","Tue Apr 04 09:26:06 GMT 2023","239","tests","test_add_new_student","","","","test_add_new_student[7081053]",""
"passed","Tue Apr 04 09:26:08 GMT 2023","Tue Apr 04 09:26:08 GMT 2023","237","tests","test_technical_details","","","","test_technical_student_details[7159566]",""
